id,Artist
121,DIPLO & JULIA MICHAELS
122,DJ KHALED
123,DOJA CAT
124,DOJA CAT & TYGA
125,DOMINIC FIKE
126,DON TOLIVER
127,DR. DRE
128,DRAKE
129,DRAKE & FUTURE
130,DRAM
131,"DREAMVILLE, J. COLE & LUTE"
132,DRIPREPORT
133,DUA LIPA
134,DUSTIN LYNCH
135,DVSN
136,"DÃ­MELO FLOW, ARCÃ¡NGEL & SECH"
137,EAGLES
138,ED SHEERAN
139,ED SHEERAN & JUSTIN BIEBER
140,ELLA MAI
141,ELLIE GOULDING & JUICE WRLD
142,EMINEM
143,ESLABON ARMADO
144,ESTEBAN GABRIEL
145,ESTELLE
146,FETTY WAP
147,FINNEAS
148,FIVIO FOREIGN
149,FLIPP DINERO
150,FLO MILLI
151,FLORIDA GEORGIA LINE
152,FOSTER THE PEOPLE
153,FRANK OCEAN
154,FREDO BANG
155,FRENCH MONTANA
156,FUN.
157,FUTURE
158,FUTURE & JUICE WRLD
159,"FUTURE, DRAKE & YOUNG THUG"
160,G HERBO
161,G-EAZY
162,G-EAZY & JACK HARLOW
163,GABBY BARRETT
164,GOLDLINK
165,GROUPLOVE
166,GRYFFIN & CHRIS LANE
167,GUCCI MANE
168,"GUCCI MANE, BRUNO MARS & KODAK BLACK"
169,GUNNA
170,H.E.R.
171,HALSEY
172,HARDY
173,HARRY STYLES
174,HIPPIE SABOTAGE
175,HOZIER
176,IANN DIOR
177,IDINA MENZEL & AURORA
178,IDINA MENZEL & EVAN RACHEL WOOD
179,IMAGINE DRAGONS
180,INGRID ANDRESS
181,J BALVIN
182,J BALVIN & BAD BUNNY
183,J BOOG
184,J. COLE
185,J.I THE PRINCE OF N.Y
186,JACK HARLOW
187,JACKBOY
188,JACKBOYS & SHECK WES
189,JACKBOYS & TRAVIS SCOTT
190,"JACKBOYS, POP SMOKE & TRAVIS SCOTT"
191,JAMES ARTHUR
192,JASON ALDEAN
193,JASON MRAZ
194,"JAY ROCK, KENDRICK LAMAR, FUTURE, JAMES BLAKE"
195,JAYDAYOUNGAN
196,JAYMES YOUNG
197,JEREMIH
198,JEREMY ZUCKER & CHELSEA CUTLER
199,JESSIE REYEZ & 6LACK
200,JHAY CORTEZ & BAD BUNNY
201,"JHAY CORTEZ, ANUEL AA & J BALVIN"
202,"JHAY CORTEZ, J BALVIN & BAD BUNNY"
203,JHENÃ© AIKO
204,JIMMIE ALLEN & NOAH CYRUS
205,JOEVILLE
206,JOHN LEGEND
207,JOJI
208,JON PARDI
209,JONAS BROTHERS
210,JORDAN DAVIS
211,JOSEPH BLACK
212,JOURNEY
213,JOYNER LUCAS & WILL SMITH
214,JP SAXE & JULIA MICHAELS
215,JUICE WRLD
216,JUICE WRLD & YOUNGBOY NEVER BROKE AGAIN
217,JUNIOR H
218,JUSTIN BIEBER
219,JUSTIN MOORE
220,JUSTIN TIMBERLAKE
221,JXDN
222,K CAMP
223,KAASH PAIGE
224,KAASH PAIGE & 6LACK
225,KAMERON MARLOWE
226,KANE BROWN
227,KANYE WEST
228,KAROL G & ANUEL AA
229,KAROL G & NICKI MINAJ
230,KASH DOLL
231,KATY PERRY
232,KEHLANI
233,KEITH URBAN
234,KELLY CLARKSON
235,KELSEA BALLERINI
236,KENDRICK LAMAR
237,"KENDRICK LAMAR, SZA"
238,KENNY CHESNEY
239,KEVIN GATES
240,KEY GLOCK
241,KEYSHIA COLE
242,KHALID
243,KHALID & DISCLOSURE
244,KHALID & NORMANI
245,"KHALID, 6LACK & TY DOLLA $IGN"
246,KIANA LEDÃ©
247,KID CUDI
248,KINA
249,KODAK BLACK
250,KODALINE
251,KYGO & ONEREPUBLIC
252,LADY ANTEBELLUM
253,LADY GAGA
