179,Post Malone,rockstar (feat. 21 Savage)
180,Rod Wave,Abandoned
181,Sam Smith,How Do You Sleep?
182,Andy Williams,It's the Most Wonderful Time of the Year
183,Juice WRLD,Flaws and Sins
184,Billie Eilish,ocean eyes
185,Billie Eilish & Khalid,lovely
186,Moneybagg Yo & Megan Thee Stallion,All Dat
187,SHAED & ZAYN,Trampoline
188,Ariana Grande,7 rings
189,Fabolous,Cold Summer
190,Luke Combs,Beer Never Broke My Heart
191,Lil Uzi Vert,Sanguine Paradise
192,Luke Combs,Better Together
193,Juice WRLD,Candles
194,DaBaby,POP STAR (feat. Kevin Gates)
195,Only The Family & Lil Durk,Fake Love (feat. Lil Tjay)
196,Summer Walker & 6LACK,Like It
197,JosÃ© Feliciano,Feliz Navidad
198,Juice WRLD,Scared of Love
199,Lil Baby,Close Friends
200,"Only The Family, Lil Durk & Booka600",Riot (feat. G Herbo)
201,XXXTENTACION,F**k Love (feat. Trippie Redd)
202,Eartha Kitt,Santa Baby
203,Noah Cyrus,July
204,Mustard,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie wit da Hoodie)"
205,YNW Melly,Bang Bang
206,YoungBoy Never Broke Again,Rebel's Kick It
207,Lil Tjay,One Take
208,Chance the Rapper,Hot Shower (feat. MadeinTYO & DaBaby)
209,YoungBoy Never Broke Again,Carter Son
210,Travis Scott,NO BYSTANDERS
211,Post Malone,On the Road (feat. Meek Mill & Lil Baby)
212,City Girls,Act Up
213,Kehlani,You Know Wassup
214,Brenda Lee,Rockin' Around the Christmas Tree (Single Version)
215,DaBaby,OFF THE RIP
216,A Boogie wit da Hoodie,Look Back at It
217,Conan Gray,Maniac
218,Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)
219,TOKYOâS REVENGE,Goodmorningtokyo!
220,Trippie Redd,1400 / 999 Freestyle (feat. Juice WRLD)
221,"Jhay Cortez, J Balvin & Bad Bunny",No Me Conoce (Remix)
222,Tory Lanez,Beauty in the Benz (feat. Snoop Dogg)
223,Post Malone,Better Now
224,KAROL G & Nicki Minaj,Tusa
225,Dan + Shay,Speechless
226,Noah Cyrus & Leon Bridges,July
227,YoungBoy Never Broke Again,Time I'm On
228,Only The Family & Lil Durk,High Tolerance (feat. NLE Choppa)
229,Taylor Swift,Christmas Tree Farm
230,Idina Menzel & Evan Rachel Wood,Show Yourself
231,Ariana Grande,"thank u, next"
232,Post Malone,Saint-Tropez
233,XXXTENTACION,SAD!
234,XXXTENTACION,I Changed Her Life (feat. Rick Ross)
235,Post Malone,I Fall Apart
236,Summer Walker,Nobody Else
237,Drake,Nonstop
238,Lil Baby,Pure Cocaine
239,Fabolous,Time (feat. Roddy Ricch)
